category_large,대분류CID,category_medium,category_small
건강/취미,55890,건강운동,걷기
건강/취미,55890,건강운동,기/단학
건강/취미,55890,건강운동,기타운동
건강/취미,55890,건강운동,요가/체조/스트레칭
건강/취미,55890,건강운동,걷기/육상스포츠
건강/취미,55890,건강운동,골프
건강/취미,55890,건강운동,글씨 쓰기
건강/취미,55890,건강운동,스티커북
건강/취미,55890,건강운동,컬러링북
건강/취미,55890,건강운동,낚시
건강/취미,55890,건강운동,다이어트
건강/취미,55890,건강운동,대체의학
건강/취미,55890,건강운동,등산/캠핑
건강/취미,55890,건강운동,무예/무술
건강/취미,55890,건강운동,바둑/장기
건강/취미,55890,건강운동,반려동물
건강/취미,55890,건강운동,수영/수상스포츠
건강/취미,55890,건강운동,재난/생존/서바이벌
건강/취미,55890,건강운동,정신건강
건강/취미,55890,건강운동,퍼즐/스도쿠/퀴즈
건강/취미,55890,건강운동,한의학
건강/취미,55890,건강운동,헬스/피트니스
건강/취미,55890,건강정보,건강에세이/건강정보
건강/취미,55890,건강정보,기타
건강/취미,55890,건강정보,남성건강
건강/취미,55890,건강정보,노인건강
건강/취미,55890,건강정보,두뇌건강
건강/취미,55890,건강정보,성클리닉
건강/취미,55890,건강정보,아동건강
건강/취미,55890,건강정보,여성건강
건강/취미,55890,건강정보,음식과 건강
건강/취미,55890,건강정보,지압/마사지
건강/취미,55890,건강정보,걷기/육상스포츠
건강/취미,55890,건강정보,골프
건강/취미,55890,건강정보,글씨 쓰기
건강/취미,55890,건강정보,스티커북
건강/취미,55890,건강정보,컬러링북
건강/취미,55890,건강정보,낚시
건강/취미,55890,건강정보,다이어트
건강/취미,55890,건강정보,대체의학
건강/취미,55890,건강정보,등산/캠핑
건강/취미,55890,건강정보,무예/무술
건강/취미,55890,건강정보,바둑/장기
건강/취미,55890,건강정보,반려동물
건강/취미,55890,건강정보,수영/수상스포츠
건강/취미,55890,건강정보,재난/생존/서바이벌
건강/취미,55890,건강정보,정신건강
건강/취미,55890,건강정보,퍼즐/스도쿠/퀴즈
건강/취미,55890,건강정보,한의학
건강/취미,55890,건강정보,헬스/피트니스
건강/취미,55890,걷기/육상스포츠,걷기/육상스포츠
건강/취미,55890,걷기/육상스포츠,골프
건강/취미,55890,걷기/육상스포츠,글씨 쓰기
건강/취미,55890,걷기/육상스포츠,스티커북
건강/취미,55890,걷기/육상스포츠,컬러링북
건강/취미,55890,걷기/육상스포츠,낚시
건강/취미,55890,걷기/육상스포츠,다이어트
건강/취미,55890,걷기/육상스포츠,대체의학
건강/취미,55890,걷기/육상스포츠,등산/캠핑
건강/취미,55890,걷기/육상스포츠,무예/무술
건강/취미,55890,걷기/육상스포츠,바둑/장기
건강/취미,55890,걷기/육상스포츠,반려동물
건강/취미,55890,걷기/육상스포츠,수영/수상스포츠
건강/취미,55890,걷기/육상스포츠,재난/생존/서바이벌
건강/취미,55890,걷기/육상스포츠,정신건강
건강/취미,55890,걷기/육상스포츠,퍼즐/스도쿠/퀴즈
건강/취미,55890,걷기/육상스포츠,한의학
건강/취미,55890,걷기/육상스포츠,헬스/피트니스
건강/취미,55890,골프,걷기/육상스포츠
건강/취미,55890,골프,골프
건강/취미,55890,골프,글씨 쓰기
건강/취미,55890,골프,스티커북
건강/취미,55890,골프,컬러링북
건강/취미,55890,골프,낚시
건강/취미,55890,골프,다이어트
건강/취미,55890,골프,대체의학
건강/취미,55890,골프,등산/캠핑
건강/취미,55890,골프,무예/무술
건강/취미,55890,골프,바둑/장기
건강/취미,55890,골프,반려동물
건강/취미,55890,골프,수영/수상스포츠
건강/취미,55890,골프,재난/생존/서바이벌
건강/취미,55890,골프,정신건강
건강/취미,55890,골프,퍼즐/스도쿠/퀴즈
건강/취미,55890,골프,한의학
건강/취미,55890,골프,헬스/피트니스
건강/취미,55890,공예,걷기/육상스포츠
건강/취미,55890,공예,골프
건강/취미,55890,공예,뜨개질/퀼트/십자수/바느질
건강/취미,55890,공예,선물포장/리본/비즈
건강/취미,55890,공예,종이접기/종이공예
건강/취미,55890,공예,패션/소품/DIY
건강/취미,55890,공예,글씨 쓰기
건강/취미,55890,공예,스티커북
건강/취미,55890,공예,컬러링북
건강/취미,55890,공예,낚시
건강/취미,55890,공예,다이어트
건강/취미,55890,공예,대체의학
건강/취미,55890,공예,등산/캠핑
건강/취미,55890,공예,무예/무술
건강/취미,55890,공예,바둑/장기
건강/취미,55890,공예,반려동물
건강/취미,55890,공예,수영/수상스포츠
건강/취미,55890,공예,재난/생존/서바이벌
건강/취미,55890,공예,정신건강
건강/취미,55890,공예,퍼즐/스도쿠/퀴즈
건강/취미,55890,공예,한의학
건강/취미,55890,공예,헬스/피트니스
건강/취미,55890,글씨 쓰기,걷기/육상스포츠
